Car Name,Specs,Price
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:5,932 milesMPG:14city /21hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$83,900"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:7,630 milesMPG:14city /21hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$55,891"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:27,062 milesMPG:14city /21hwyColor:OrangeBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$48,900"
Certified Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:5,983 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$53,000"
Certified Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:23,430 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$50,999"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:12,255 milesMPG:14city /21hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$52,995"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:32,698 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$49,995"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:14,000 milesMPG:14city /21hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$42,500"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:11,453 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$65,999"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:10,958 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$61,905"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:5,265 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$59,000"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:10,969 milesMPG:14city /21hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$56,985"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:65,017 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$34,900"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:2,716 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$57,990"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:45,592 milesMPG:14city /21hwyBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$45,995"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:20,905 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$54,997"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:14,975 milesMPG:14city /21hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$54,995"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:19,470 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$57,988"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:11,097 milesMPG:14city /21hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual",Call for Price
Used 2016 Ford Mustang Shelby GT350 Coupe,Mileage:116 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual,"Price:$84,900"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:12,558 milesMPG:14city /21hwyColor:GrayBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$53,995"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:31,548 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$46,901"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:2,937 milesMPG:14city /21hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$69,800"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:30,679 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$44,880"
Used 2016 Ford Mustang Shelby GT350 Coupe,"Mileage:28,615 milesMPG:14city /21hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.2 LTransmission:Manual","Price:$56,349"
Used 2008 BMW M3,"Mileage:142,858 milesMPG:13city /19hwyColor:WhiteBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Manual","Price:$13,990"
Used 2008 BMW M3,"Mileage:68,895 milesMPG:14city /20hwyColor:SilverBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$24,400"
Used 2008 BMW M3,"Mileage:91,932 milesMPG:14city /20hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$19,298"
